RAh,RAm,RAs,e_RAs,DEd,DEm,DEs,eDEs,GLON,GLAT,Si,e_Si,Pk,e_Pk,m,e_m,RM,e_RM
0,2,49.23,0.04,30,32,41,0.6,110.6969,-31.1694,178.4,5.4,3.98,0.27,2.33,0.16,-40.5,13.9
0,2,51.99,0.04,30,43,44.4,0.6,110.7553,-30.9917,232.4,7,5.02,0.26,2.25,0.12,-37.6,11.4
0,2,52.51,0.04,0,7,35,0.7,97.5771,-60.5852,42.9,1.7,5,0.4,12.13,0.97,-85.1,17.6
0,2,55.85,0.04,-21,25,28.2,0.7,57.6235,-77.5705,83.1,2.9,5.08,0.31,7.49,0.46,-24.4,13.3
0,2,55.91,0.05,-26,54,51,0.9,31.2999,-79.1993,94.4,3.2,8.24,0.27,12.75,0.42,0.8,7.2
0,3,1.99,0.04,-31,18,14.1,0.6,8.4736,-78.6514,101.6,3.5,4.59,0.3,5.6,0.37,11.2,14.4
0,3,4.21,0.04,-33,11,57.3,0.6,-0.1585,-77.9233,117.3,4.1,9.66,0.31,8.94,0.29,6.8,6.8
0,3,7.04,0.03,18,9,12.7,0.6,107.0937,-43.2273,325,11.4,23.69,0.33,8.05,0.11,-28.5,2.8
0,3,10.23,0.03,-16,15,6.6,0.6,74.664,-74.3989,384.4,11.5,16.42,0.3,4.45,0.08,-25.8,3.6
0,3,11.33,0.03,-14,40,52.3,0.6,78.444,-73.2333,356.7,12.5,19.2,0.3,5.37,0.08,0.2,3.5
0,3,11.91,0.03,16,29,3.3,0.6,106.5184,-44.8447,143.1,4.3,8.26,0.33,5.99,0.24,-24.3,8.5
0,3,15.8,0.03,-15,30,15.4,0.6,76.5835,-73.866,257.4,9.1,7.8,0.31,3.32,0.13,10.2,9
0,3,20.03,0.04,30,55,26.9,0.6,110.9187,-30.823,104.2,3.2,4.01,0.27,4.06,0.27,-48.5,13
0,3,21.27,0.05,43,38,4.3,0.9,113.7924,-18.3823,69.5,2.7,5.48,0.42,13.28,1.02,-28,12
0,3,22,0.03,-17,27,11.4,0.6,71.5253,-75.2777,2414.8,72.4,32.64,0.35,1.47,0.02,-33.2,2.4
0,3,23.35,0.03,-12,2,53.2,0.6,83.8268,-71.1743,223.8,7.2,14.9,0.28,9.16,0.17,-0.3,4
0,3,24.02,0.05,53,44,54.6,0.6,115.7863,-8.4555,150.3,4.9,4.67,0.31,4.18,0.28,-27.7,14
0,3,25.44,0.05,3,41,49,0.9,100.4896,-57.0679,65.3,2.7,6.84,0.58,17.14,1.45,4.5,17.2
0,3,25.58,0.04,-27,26,31.8,0.7,28.4931,-79.3321,144,5.1,5.19,0.3,5.18,0.3,1.9,12.3
0,3,27.24,0.03,-15,47,6.3,0.6,76.0229,-74.1048,527.3,15.8,15.97,0.29,3.19,0.06,-2.8,4
0,3,27.47,0.03,-22,57,23.8,0.6,51.3096,-78.3665,118.9,4.2,5.06,0.34,4.45,0.3,18.3,13.5
0,3,30.19,0.05,19,37,58.5,0.8,107.7189,-41.8185,28.1,1.2,3.17,0.25,12.06,0.95,-39.8,17
0,3,32.98,0.03,-15,17,14.7,0.6,77.285,-73.7497,254.1,8.4,12.61,0.29,8.98,0.21,-6.4,5.3
0,3,33.27,0.04,3,36,48.8,0.6,100.4937,-57.1574,100.7,3.4,10.93,0.37,14.77,0.5,-12.7,6.9
0,3,33.55,0.04,36,29,36.5,0.6,112.2969,-25.3876,56.5,1.7,3.96,0.3,7.17,0.54,-60.8,14.5
0,3,34.86,0.03,15,54,26.7,0.6,106.4294,-45.4254,122.4,4.3,4.27,0.36,3.96,0.33,-15.9,18.8
0,3,35.72,0.07,62,47,30.6,0.6,117.4945,0.4262,495.1,14.9,10.8,0.34,2.31,0.07,-274.5,8.1
0,3,40.18,0.05,4,0,27.8,0.8,100.788,-56.7962,68.1,2.7,10.81,0.44,11.7,0.48,-6.1,10.7
0,3,40.32,0.03,4,1,2.4,0.6,100.7949,-56.7874,110.3,3.8,11.21,0.45,9.06,0.36,-9.7,10.3
0,3,41.04,0.03,13,6,38.2,0.6,105.3646,-48.1256,990.5,29.7,29.67,0.5,2.84,0.05,-23.5,3.8
0,3,42.42,0.04,-21,33,11.4,0.6,57.5174,-77.791,69,2.5,7.05,0.31,12.15,0.53,-11.9,9.7
0,3,42.52,0.03,-17,40,26.8,0.6,71.1048,-75.4879,349.4,12.1,7.18,0.33,2.21,0.1,12.4,10.9
0,3,42.83,0.03,-11,51,49.3,0.6,84.3536,-71.0681,351.7,12.2,4.87,0.31,1.56,0.1,-3.8,13.3
0,3,45.18,0.03,-11,8,20.6,0.6,85.6067,-70.4724,353.4,12.5,6.69,0.29,2,0.09,-8.2,9.3
0,3,47.24,0.03,-25,20,26.2,0.6,39.7543,-79.1704,163.1,4.9,8.2,0.42,5.44,0.28,44.7,11.1
0,3,47.96,0.03,-23,29,40.4,0.6,48.9615,-78.6433,687.5,22.7,11.98,0.33,2.01,0.06,12.1,6
0,3,52.11,0.03,-14,22,20,0.6,79.562,-73.1002,189.2,7,10.8,0.31,7.26,0.21,-12.6,6.2
0,3,53.24,0.03,12,10,25.9,0.6,105.0433,-49.0393,229.6,6.9,15.87,0.29,7.1,0.13,-8.5,4
0,3,54.48,0.08,66,13,25.8,0.6,118.1596,3.7934,221.9,7.7,8.38,0.32,4.4,0.17,-326.6,9
0,3,55.09,0.04,-30,59,52.5,0.6,9.6695,-78.926,874.6,30.8,18.07,0.42,2.44,0.06,44.1,5.3
0,3,55.87,0.04,37,35,28.9,0.6,112.6222,-24.3275,70.1,2.5,4.47,0.27,7.12,0.43,-121.7,12.5
0,3,56.32,0.03,-10,53,0.8,0.6,86.1361,-70.2833,398.3,12,4.08,0.29,1.06,0.08,-20.4,15.9
0,3,58.23,0.03,15,59,28.1,0.6,106.5892,-45.3691,88.4,3.2,5.03,0.29,6.33,0.36,-0.5,14.1
0,3,59.32,0.04,-23,6,58.6,0.6,50.8168,-78.5416,263.7,8.8,15.13,0.46,10.12,0.31,15.7,6.4
0,3,59.97,0.03,5,38,45.8,0.6,101.8908,-55.2759,107.8,3.8,8.36,0.37,8.54,0.38,7.3,9.1
0,4,0.6,0.04,-37,5,30.9,0.6,-14.8731,-75.8761,128.1,4.6,4.29,0.28,3.82,0.25,19,15.4
0,4,4.9,0.03,-11,48,58.4,0.6,84.6652,-71.0798,459.2,13.8,24.13,0.28,5.62,0.07,-5.9,2.7
0,4,5.11,0.04,37,2,16.6,0.6,112.5328,-24.8758,76.5,3,3.48,0.25,5.85,0.42,-133.4,15.9
0,4,6.2,0.04,-23,7,1.4,0.6,50.8651,-78.5662,257.1,8.5,10.08,0.61,7.75,0.47,19.1,12.9
0,4,6.74,0.06,-15,18,11.9,0.7,77.6137,-73.8509,166.4,5.8,5.82,0.33,9.07,0.51,-12,14.2
0,4,6.97,0.04,-29,40,10.8,0.6,16.4345,-79.2931,104.8,3.5,10.15,0.32,14.39,0.45,12,7.2
0,4,8.3,0.04,-25,3,38.1,0.6,41.3023,-79.1856,54.1,2,5.9,0.36,12.74,0.78,-5.5,12.2
0,4,8.97,0.03,-23,18,40.7,0.6,49.9773,-78.6505,199.8,6,5.6,0.35,3.05,0.19,-20.1,13.5
0,4,9.83,0.03,17,17,51.3,0.6,107.1254,-44.1185,501.8,17.7,4.93,0.26,1,0.05,-46.8,11
0,4,10.05,0.04,32,50,6.6,0.6,111.586,-28.993,88.3,3.2,3.07,0.21,3.76,0.26,-77.5,16.6
0,4,11.26,0.04,40,59,46.4,0.6,113.4058,-20.9999,99.7,3.5,8.14,0.31,8.8,0.34,-66.3,7.3
0,4,11.99,0.04,-34,31,18,0.6,-6.0861,-77.4654,208.8,7,5.87,0.3,3.5,0.18,22.2,10.9
0,4,16.61,0.04,9,24,10.9,0.9,103.9417,-51.7214,43.7,1.7,4.01,0.27,11.34,0.76,17.1,16
0,4,21.03,0.03,-28,40,19.5,0.6,21.7584,-79.4871,186.6,6.4,7.77,0.31,4.48,0.18,35.5,8.1
0,4,22.28,0.03,-2,47,4.1,0.7,96.0982,-63.1775,103.7,3.5,11.84,0.29,14.45,0.35,3,4.3
0,4,23.83,0.03,26,37,52.9,0.6,110.0709,-35.0629,406.8,12.2,7.27,0.22,1.84,0.06,-86.5,6.2
0,4,45.78,0.05,-40,11,45.8,0.6,-23.5562,-73.7508,62.7,2.6,5.49,0.42,11.06,0.85,19.5,15.8
0,4,46.25,0.03,-6,59,50.9,0.6,91.9902,-67.0227,115.9,4.1,6.93,0.34,6.33,0.31,-8.2,9.8
0,4,49.99,0.03,7,46,5.6,0.6,103.359,-53.3232,89.8,2.7,3.75,0.29,4.34,0.34,15.1,15.4
0,4,54.68,0.04,44,27,28.4,0.6,114.2471,-17.6279,80.7,2.5,4.32,0.23,5.86,0.31,-31.1,11.4
0,4,55.83,0.04,27,52,53.7,0.6,110.5429,-33.8689,92.1,3.3,8.2,0.33,10.26,0.41,-84.5,8.5
0,4,56.12,0.04,-39,19,8.9,0.6,-21.5489,-74.4345,93.9,2.9,5.92,0.3,6.44,0.33,-18.8,11
0,4,57.12,0.03,12,48,18.9,0.6,105.686,-48.5038,1069.5,35.1,103.2,2.73,19.89,0.53,-11.6,6
0,4,59.08,0.05,29,38,3.9,0.7,111.0037,-32.1591,55,2,8.73,0.22,19.5,0.49,-105.8,5.3
0,5,0.04,0.04,-37,13,55.4,0.6,-15.843,-75.929,220.2,6.6,3.66,0.28,1.75,0.13,12.7,15.1
0,5,3.18,0.13,76,5,26.4,0.6,120.0838,13.476,178.5,5.4,5.15,0.31,3.05,0.18,-8.2,12.7
0,5,4.66,0.05,47,13,3.5,0.6,114.8133,-14.922,164.3,5.7,7.29,0.29,4.91,0.2,-31.8,9.1
0,5,6.89,0.03,-24,13,12.7,0.6,45.9321,-79.1701,104.6,3.2,4.67,0.33,4.58,0.32,6.2,16.4
0,5,9.58,0.04,36,12,47.3,0.7,112.5843,-25.727,76.9,2.7,3.99,0.29,6.76,0.49,-66.4,16
0,5,11.46,0.04,30,9,24.3,0.6,111.1848,-31.6579,110.3,3.3,3.45,0.23,3.39,0.23,-115.3,14.3
0,5,12.78,0.21,81,35,5.5,0.6,121.1565,18.8729,211.8,6.4,3.66,0.29,1.78,0.14,-12.5,17
0,5,13.25,0.05,48,59,44.8,0.6,115.1749,-13.1786,132.7,4.7,7.2,0.35,6.03,0.29,6.1,9.1
0,5,14.03,0.57,85,49,18.3,0.7,122.0236,23.0317,28.6,1,4.46,0.26,16.33,0.95,-3,13.6
0,5,14.66,0.03,4,25,8.6,0.6,101.7093,-56.5373,219.5,6.6,10.52,0.27,5.06,0.13,13.3,5.6
